bill::102:100:ext 123:/home/bill:/bin/bash
roy:x:104:100:ext 475:/home/roy:/bin/ksh
tom:x:105:100:ext 476:/home/tom:/bin/ksh
lynn:x:166:100:ext 500:/home/lynn:/bin/zsh
mark:x:107:100:ext 112:/home/mark:/bin/bash
sales:x:108:100:ext 102:/m/market:/bin/bash
toni::164:100:ext 357:/home/toni:/bin/zsh
ginny:x:115:100:ext 109:/home/ginny:/bin/bash
chuck:x:116:100:ext 146:/home/chuck:/bin/bash
neil:x:164:100:ext 178:/home/neil:/bin/bash
rmi:x:118:100:ext 178:/home/rmi:/bin/zsh
vern:x:119:100:ext 201:/home/vern:/bin/bash
bob:x:120:100:ext 227:/home/bob:/bin/ksh
janet:x:122:100:ext 229:/home/janet:/bin/ksh
maggie:x:124:100:ext 244:/home/maggie:/bin/ksh
dan::126:100::home/dan:/bin/bash
dave:x:108:100:ext 427:/home/dave:/bin/bash
mary:x:129:100:ext 303:/home/mary:/bin/bash
